Cap_ID,Trap_Type,Bait_Type,New_Recap
1,bask-p,NULL,N
2,bask-p,NULL,R
3,bask-m,NULL,R
4,snrkl,NULL,N
5,snrkl,NULL,R
6,Hoop,NULL,R
7,Hoop,NULL,N
8,bask-p,NULL,NULL
9,NULL,Catfood,R
10,NULL,Catfood,N
11,NULL,Tuna,R
12,hoop,NULL,N
13,Hand,NULL,R
14,NULL,catfood,R
15,bask-m,NULL,N
16,NULL,NULL,R
17,Hoop,Sardines,R
18,Hoop,Catfood,R
19,NULL,Sardines,R
20,hoop,NULL,R
21,hoop,NULL,NULL
22,NULL,Stumpy,R
23,bask-m,NULL,NULL
24,Hand,NULL,N
25,Hoop,NULL,NULL
26,bask-p,NULL,*
27,NULL,Fish,R
28,NULL,Sardines,N
29,-,NULL,R
30,Hoop,Sardines,N
31,NULL,Fish,N
32,hand,NULL,NULL
33,hand,NULL,R
34,hoop,NULL,*
35,bask-m,NULL,*
36,hand,NULL,*