Profile_ID,Age,Sex,Species
1,5+,M,Cp
2,W,M,Cp
3,6+,M,Cp
4,W,F,Cp
5,NULL,F,Cp
6,7+,F,Cp
7,5+,F,Cp
8,A,M,Cp
9,NULL,NULL,Cp
10,7+,M,Cp
11,NULL,M,Cp
12,-,M,Cp
13,6,M,Cp
14,3+,M,Cp
15,3,M,Cp
16,J,M,Cp
17,worn,M,cpp
18,worn,F,cpp
19,worn,F,cpp/m
20,10+,F,Cp
21,5,M,Cp
22,8+,M,Cp
23,worn,M,Cp
24,A,F,Cp
25,5,F,Cp
26,6+,F,Cp
27,6,F,Cp
28,J,F,Cp
29,8,F,Cp
30,4+,F,Cp
31,13,?,Css
32,4+,M,Cp
33,5+,M,cpp
34,7,?,Tse
35,1,M,Cp
36,W,?,Css
37,NULL,F,Css
38,A,N/A,Cp
39,11+,F,Cp
40,8+,F,Cp
41,NULL,M,NULL
42,NULL,M,Css
43,W,?,Cp
44,4,M,Cp
45,9+,F,Cp
46,67,F,Cp
47,NULL,F,NULL
48,7,F,Cp
49,-,F,Cp
50,4,F,Cp
51,10+,M,Cp
52,7,?,Css
53,15+,F?,Css
54,W,F,Css
55,worn,F,Cp
56,9,?,Tse
57,6/7/2015,F,Cp
58,12,F,Cp
59,12+,F,Cp
60,9,F,Css
61,10,M,Cp
62,10-15,F,Css
63,18,F,Css
64,worn,F,Css
65,NULL,NULL,Css
66,NULL,M,Eastern Box
67,J,F?,Css
68,approx 70. yrs.,M,Css
69,juvenile (<10 years),M,Cp
70,25+,NULL,Css
71,worn,M,Css
72,3+,F,Cp
73,N/A,M,Cp
74,2,F,Cp
75,12+,M,Cp
76,NULL,M,cpp
77,6+,F,cpp
78,2+,M,Cp
79,1+,M,Cp
80,5,M,cpp
81,W,M,Css
82,3+,F,cpp
83,4/5+,F,cpp
84,3+,M,cpp
85,11,?,Css
86,worn,?,Css
87,8,?,Css
88,10,?,Css
89,15,F,Css
90,8,M,Css
91,13,F,Css
92,12,F,Css
93,9,?,Css
94,12,?,Css
95,NULL,?,Css
96,Worn,M,Css
97,9+,M,Cp
98,9-10,M,Cp
99,8,M,Cp
100,20,F?,Css
101,10,M,Css
102,worn,M?,Css
103,10,F,Css
104,NULL,F,css
105, worn,F,Cp
106,3,F,Cp
107,14,M,Css
108,17,M,Css
109,20+,M,Css
110,worn ,M,Css
111,7,F,Css
112,8,F,Css
113,16,?,Css
114,NULL,F,cpp
115,4-5,F,Cp
116,5+,F,cpp
117,6-7,M,Cp
118,13+,F,Cp
119,1,F,Cp
120,25+,F,Css
121,NULL,F?,Css
122,NULL,M?,Css
123,20+,F,Css
124,4+,M,cpp
125,3,F,cpp
126,4,F,cpp
127,3,M,cpp
128,3+,M,cpp/m
129,4,M,cpp/m
130,worn,M,?
131,4+,F,cpp